date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,diff_sma50,sma_100,diff_sma100,sma_200,diff_sma200,bb_lower,bb_upper,diff_upper_bb,diff_lower_bb,local,local_text,ghl_status,ghl_color,ghl_last_change_date,ghl_days_since_last_change,ghl_last_change_price,ghl_change_percent_from_last_change,rsi_status,rsi_last_change_date,rsi_days_since_last_change,rsi_last_change_price,rsi_change_percent_from_last_change,last_max,fell_from_last_max,sector,industry,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,last_local_min_date,last_local_min_price,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,days_after_last_local_max,percent_fall_from_last_local_max
2025-03-05,235.4949951171875,229.22999572753906,236.5500030517578,235.74000549316406,46969202.0,AAPL,232.88999938964844,45.53524490439117,239.36359954833983,-1.5138450716872587,236.63559936523438,-0.37846962776214577,226.61264976501465,4.027734434778463,233.3534912475748,242.18250728758144,2.7328843829199867,-1.012350127250028,minimum,💸8.31%<br>$229.23,open,gold,2025-02-20,13.0,245.8300018310547,-4.104460913125207,open,2025-01-21,43.0,222.63999938964844,5.883940953749711,259.0199890136719,8.987716974723147,Electronic Technology,Telecommunications Equipment,37.47615414,6.3173,164000.0,2025-03-05,235.74000549316406,0.0,0.0,2025-02-25,247.0399932861328,8.0,4.574153214083276
2025-03-05,389.3399963378906,388.80999755859375,401.6700134277344,401.0199890136719,23273389.0,MSFT,395.24000549316406,44.36289642507071,419.26139892578124,-4.350844117499719,422.6586996459961,-5.119665264301442,425.59694961547854,-5.774703184318319,383.7840821565466,403.27189928876584,0.5615456428076371,-4.298016889262257,maximum,🚀5.43%<br>$401.67,close,blue,2025-02-06,27.0,415.82000732421875,-3.5592367009428583,close,2024-12-17,78.0,454.4599914550781,-11.759011452318047,449.55999755859375,10.797225911674978,Technology Services,Packaged Software,32.29968749,12.4781,228000.0,2025-03-04,388.6099853515625,1.0,3.193434067547818,2025-03-05,401.0199890136719,0.0,-0.0
2025-03-05,117.5199966430664,114.51000213623047,118.2780990600586,117.30000305175781,269777383.0,NVDA,116.39405059814453,39.89638665010309,132.65059936523437,-11.572202754403616,136.1563993835449,-13.84907093398503,127.09001972198486,-7.70321437642637,110.92668124454889,126.04131802302925,7.4521012309048285,-5.433351782946449,maximum,🚀7.42%<br>$118.28,close,blue,2025-02-04,29.0,118.6500015258789,-1.1377989521783927,close,2024-10-21,135.0,143.7100067138672,-18.377289282779607,140.13999938964844,16.297985184362517,Electronic Technology,Semiconductors,39.90474571,2.9689,36000.0,2025-03-04,115.98999786376953,1.0,1.129412201151081,2025-03-05,117.30000305175781,0.0,-0.0
2025-03-05,204.75999450683594,203.25999450683594,209.97999572753906,208.36000061035156,38451584.0,AMZN,206.6199951171875,36.31070710753251,225.24880035400392,-7.497842260251641,214.60170013427734,-2.9085042290067142,198.87405029296875,4.7698280914019175,201.6488118545144,213.63119302829807,2.529848532590484,-3.2209583107016604,maximum,🚀6.36%<br>$209.98,close,grey,2025-02-28,5.0,212.27999877929688,-1.8466168228222224,open,2025-03-04,1.0,203.8000030517578,2.2374865016246748,242.05999755859375,13.92216693718038,Retail Trade,Internet Retail,37.73270554,5.6499,1556000.0,2025-03-04,203.8000030517578,1.0,2.2374865016246748,2025-03-05,208.36000061035156,0.0,-0.0
2025-03-05,172.32000732421875,170.9499969482422,175.75,174.99000549316406,18823348.0,GOOG,173.3499984741211,38.9103868362746,190.79600158691406,-8.284238643517817,182.8382012939453,-4.292426716758091,177.331050491333,-1.3201551514427812,167.4134619544171,176.06254512566105,0.6129147944617275,-4.329700726275442,maximum,🚀4.9%<br>$175.75,close,grey,2025-02-25,8.0,177.3699951171875,-1.3418220045904539,open,2025-03-03,2.0,168.66000366210938,3.753113775412986,207.7100067138672,15.75273225318261,Technology Services,Internet Software/Services,21.748695,8.1296,183323.0,2025-03-04,172.61000061035156,1.0,1.3788337143831653,2025-03-05,174.99000549316406,0.0,-0.0
2025-03-05,641.4500122070312,637.6849975585938,659.5,656.469970703125,13280308.0,META,648.5924987792969,44.49477823034705,652.7616003417969,0.5681048577897752,619.3050012207032,6.001076918346615,565.2908003234863,16.129604502224627,637.4779336056732,673.7060507693267,2.6255702218550336,-2.893054967481601,,,open,gold,2024-08-12,205.0,515.9500122070312,27.235188520493423,close,2025-01-28,36.0,674.3300170898438,-2.6485616736736772,736.6699829101562,10.886830476003306,Technology Services,Internet Software/Services,27.44152994,24.6167,74067.0,2025-03-04,640.0,1.0,2.5734329223632724,2025-02-14,736.6699829101562,19.0,10.886830476003306
2025-03-05,191.8350067138672,187.10000610351562,194.0800018310547,191.5800018310547,25224693.0,AVGO,190.59000396728516,35.5672231453694,224.12139923095702,-14.519540530963948,201.35149978637696,-4.852955138496262,179.6777947998047,6.624194739539924,182.60443110858267,202.85956425274543,5.8876512756470545,-4.6850248651668425,maximum,🚀7.54%<br>$194.08,close,grey,2025-03-04,1.0,187.47999572753906,2.1869032413858625,close,2024-12-26,69.0,245.36000061035156,-21.918812620441418,250.0,23.36799926757812,Electronic Technology,Semiconductors,157.14871627,1.2713,37000.0,2025-03-04,187.47999572753906,1.0,2.1869032413858625,2025-03-05,191.5800018310547,0.0,-0.0
2025-03-05,272.9599914550781,267.7099914550781,279.5400085449219,279.1000061035156,93248500.0,TSLA,273.625,29.901666000457055,378.33539916992186,-26.22947609029749,345.6803996276856,-19.26067940093804,280.32594993591306,-0.4373279864663626,268.42997519894425,295.8580374963683,6.004310650798517,-3.8230134973963326,maximum,🚀6.76%<br>$279.54,close,blue,2025-03-05,0.0,279.1000061035156,0.0,open,2025-03-03,2.0,284.6499938964844,-1.9497586200500905,440.1300048828125,36.58691681840055,Consumer Durables,Motor Vehicles,136.92783202,2.2285,125665.0,2025-03-04,272.0400085449219,1.0,2.5952056083059283,2025-03-05,279.1000061035156,0.0,-0.0
2025-03-05,904.7999877929688,903.0540161132812,930.4899291992188,929.719970703125,3008357.0,LLY,916.77197265625,68.30836721942512,822.2837927246094,13.065583795897219,825.0576971435547,12.685449020344052,854.0293487548828,8.862765905948544,899.5247694761172,938.9911973207579,0.9972063535024667,-3.2477737575295818,,,open,gold,2025-02-19,14.0,867.0499877929688,7.227954995960428,close,2025-02-28,5.0,920.6300048828125,0.987363628395932,954.1699829101562,2.5624377883341376,Health Technology,Pharmaceuticals: Major,80.9219173,11.5141,47000.0,2025-03-04,911.0599975585938,1.0,2.0481607352463183,2025-03-03,929.719970703125,2.0,-0.0
2025-03-05,94.97000122070312,94.76000213623047,96.38999938964844,95.9800033569336,17572557.0,WMT,95.57500076293945,45.539065831834634,95.97540023803711,0.0047961445173161366,91.36540000915528,5.050712137544311,81.55059978485107,17.693804349876707,94.27072156205938,99.30527941450313,3.464550886921103,-1.7808728225583437,,,open,gold,2024-01-22,408.0,54.130001068115234,77.31387670980429,close,2025-02-19,14.0,104.0,-7.711535233717703,104.04000091552734,7.747017962002767,Retail Trade,Specialty Stores,39.87370695,2.4172,,2025-02-24,93.66999816894531,9.0,2.4661099958835253,2025-02-14,104.04000091552734,19.0,7.747017962002767
